# near-IR sky background 0.9-5.6um
# 1.6mm H2O, sec z = 1.5, middle of night (low OH)
#  
# Modification of original spectrum from Tom Geballe
# 22Aug00 - converted to units of nm from um : Phil Puxley
# Fudged at K
#
#  Wavelength    Flux density
#  (nm)  (ph/sec/nm/arcsec2/m2)

   900.0       4.26027
   900.5       4.93219
   901.0       3.98241
   901.5       3.13729
   902.0       3.11812
   902.5       3.12799
   903.0       3.16702
   903.5       3.43545
   904.0       3.69053
   904.5       3.74808
   905.0       3.99647
   905.5       3.83792
   906.0         3.392
   906.5       3.18804
   907.0       3.10796
   907.5       3.08157
   908.0        3.1154
   908.5       3.12166
   909.0        3.2107
   909.5       3.30787
   910.0       3.35073
   910.5       3.40368
   911.0       3.28275
   911.5       3.18082
   912.0       3.14324
   912.5       3.14822
   913.0       3.11064
   913.5        3.0471
   914.0       3.07913
   914.5       3.16698
   915.0       3.17335
   915.5       3.08986
   916.0       3.12014
   916.5        3.2289
   917.0       3.19073
   917.5       3.08586
   918.0       3.08596
   918.5        3.1373
   919.0        3.1672
   919.5       3.16943
   920.0       3.17818
   920.5       3.20469
   921.0        3.1981
   921.5       3.18212
   922.0       3.18339
   922.5       3.20399
   923.0       3.20173
   923.5       3.18254
   924.0       3.16569
   924.5       3.15676
   925.0       3.15359
   925.5        3.1648
   926.0       3.16736
   926.5       3.16711
   927.0       3.17444
   927.5       3.14054
   928.0       3.07643
   928.5        3.0528
   929.0        3.0488
   929.5       3.00474
   930.0       3.02042
   930.5       4.40336
   931.0       7.03508
   931.5       8.09554
   932.0       5.66335
   932.5       6.19949
   933.0       4.65274
   933.5       3.17536
   934.0        3.2341
   934.5       2.57484
   935.0       2.40938
   935.5       2.40968
   936.0       2.30615
   936.5       2.45316
   937.0       3.21709
   937.5       6.53644
   938.0       8.88525
   938.5       6.55286
   939.0       5.33589
   939.5       4.39171
   940.0       3.58257
   940.5       3.99169
   941.0       3.33327
   941.5       3.23942
   942.0        4.2193
   942.5       4.23964
   943.0       2.86736
   943.5       4.11712
   944.0       6.16124
   944.5       5.04817
   945.0       3.86263
   945.5       3.58068
   946.0       4.22056
   946.5        3.5755
   947.0       3.01553
   947.5       5.86209
   948.0       8.58075
   948.5       4.93115
   949.0       2.79123
   949.5       2.62775
   950.0        3.1732
   950.5       4.06317
   951.0       3.78757
   951.5       4.43268
   952.0       5.93077
   952.5       5.25365
   953.0       3.40557
   953.5       2.78276
   954.0       2.74629
   954.5       2.64704
   955.0       3.24459
   955.5       3.79772
   956.0       3.24698
   956.5       3.97507
   957.0       4.98619
   957.5       4.15039
   958.0       2.82932
   958.5        2.7241
   959.0       2.65741
   959.5       2.63577
   960.0       2.76088
   960.5        3.1021
   961.0       3.40712
   961.5       3.31327
   962.0       3.56844
   962.5       3.82269
   963.0       3.32633
   963.5        2.8836
   964.0       2.79453
   964.5       2.78128
   965.0       2.85888
   965.5       3.03266
   966.0       3.12422
   966.5       3.35337
   967.0       3.85241
   967.5       3.84598
   968.0        4.5435
   968.5       5.33808
   969.0       4.66808
   969.5       5.05612
   970.0       6.61379
   970.5       5.63808
   971.0       4.54389
   971.5       5.88244
   972.0       7.52428
   972.5       6.73536
   973.0       4.20532
   973.5       3.81572
   974.0       4.68392
   974.5       3.96354
   975.0       3.09006
   975.5       2.93939
   976.0       2.88109
   976.5       2.90309
   977.0       2.95118
   977.5       2.96813
   978.0       2.94217
   978.5       4.39518
   979.0       12.1168
   979.5       17.8776
   980.0       13.1174
   980.5       6.65142
   981.0       5.00879
   981.5       4.60349
   982.0       3.75411
   982.5       3.20311
   983.0       3.37888
   983.5       3.19972
   984.0       3.00371
   984.5       4.30896
   985.0       5.93845
   985.5       4.79099
   986.0       3.21462
   986.5       3.12238
   987.0       8.15847
   987.5       13.2664
   988.0       8.01964
   988.5       3.04812
   989.0       3.94945
   989.5       5.89165
   990.0       5.82142
   990.5       3.88108
   991.0       5.80698
   991.5       11.2753
   992.0       10.8429
   992.5         5.397
   993.0       2.95539
   993.5       3.06312
   994.0       5.86442
   994.5       12.6218
   995.0       14.2851
   995.5       10.7619
   996.0       12.9385
   996.5        12.889
   997.0       7.09669
   997.5       4.59723
   998.0       3.79928
   998.5       2.99367
   999.0       2.93951
   999.5       3.24986
  1000.0       4.00868
  1000.5       4.20165
  1001.0      10.05131
  1001.5       17.2615
  1002.0       11.7785
  1002.5       6.79204
  1003.0       6.80593
  1003.5       4.49659
  1004.0       3.76223
  1004.5       4.56335
  1005.0       3.89759
  1005.5       3.50407
  1006.0       4.82596
  1006.5       5.77098
  1007.0       5.12416
  1007.5       4.24286
  1008.0       6.99871
  1008.5      10.45058
  1009.0       6.73385
  1009.5       3.12687
  1010.0       4.31721
  1010.5       5.82011
  1011.0        4.7234
  1011.5       3.17852
  1012.0       6.11316
  1012.5       10.8351
  1013.0       8.90531
  1013.5       4.49009
  1014.0       3.12338
  1014.5       3.30322
  1015.0        5.0017
  1015.5       7.26311
  1016.0       7.04071
  1016.5       5.48989
  1017.0      10.55259
  1017.5       16.3355
  1018.0       10.7735
  1018.5       8.58727
  1019.0       13.2444
  1019.5       12.0677
  1020.0       8.13526
  1020.5       9.44067
  1021.0         15.71
  1021.5       18.3978
  1022.0        9.8437
  1022.5        5.9682
  1023.0       9.98258
  1023.5       9.34517
  1024.0       4.88984
  1024.5       2.84013
  1025.0       2.83916
  1025.5       2.83717
  1026.0       2.83762
  1026.5       2.90372
  1027.0       3.38246
  1027.5       3.74863
  1028.0       5.39739
  1028.5       27.4245
  1029.0       48.3034
  1029.5       32.3453
  1030.0       16.7664
  1030.5      10.28838
  1031.0       6.79893
  1031.5       6.28303
  1032.0       3.90009
  1032.5       3.60037
  1033.0        4.1718
  1033.5       3.52893
  1034.0       3.17494
  1034.5        7.4297
  1035.0       12.0097
  1035.5       7.97716
  1036.0       3.48483
  1036.5        2.9528
  1037.0       15.8691
  1037.5       30.7878
  1038.0       18.0563
  1038.5       3.88457
  1039.0       3.12607
  1039.5       8.40969
  1040.0       13.3186
  1040.5       7.75232
  1041.0       2.82558
  1041.5        15.371
  1042.0       31.1161
  1042.5       20.3436
  1043.0       5.37731
  1043.5       2.92257
  1044.0       2.79712
  1044.5       3.79741
  1045.0       7.91867
  1045.5      10.04691
  1046.0       5.78824
  1046.5       9.56264
  1047.0       19.8609
  1047.5       15.8512
  1048.0       5.79941
  1048.5       2.75288
  1049.0        2.7504
  1049.5        2.7619
  1050.0       2.78003
  1050.5       4.18989
  1051.0       6.48877
  1051.5       5.82399
  1052.0       5.69392
  1052.5       9.75647
  1053.0      10.20914
  1053.5       5.31035
  1054.0       2.73271
  1054.5       2.73098
  1055.0       2.72922
  1055.5       2.72744
  1056.0       2.72564
  1056.5       2.73042
  1057.0       3.56315
  1057.5       4.47763
  1058.0       3.92158
  1058.5       4.78877
  1059.0       5.96206
  1059.5       4.15136
  1060.0       2.72442
  1060.5       2.72071
  1061.0       2.71145
  1061.5        2.7056
  1062.0       2.70355
  1062.5       2.70136
  1063.0        2.6994
  1063.5       2.74563
  1064.0       3.01059
  1064.5       3.19549
  1065.0       3.37598
  1065.5       3.65148
  1066.0       3.18267
  1066.5       2.70764
  1067.0       2.68422
  1067.5       2.68086
  1068.0       2.79717
  1068.5       3.55917
  1069.0       4.51342
  1069.5        6.0107
  1070.0       7.75922
  1070.5        7.3339
  1071.0       9.91308
  1071.5         12.97
  1072.0         9.852
  1072.5       13.9455
  1073.0       21.4913
  1073.5       14.9481
  1074.0       8.52222
  1074.5       11.5216
  1075.0       20.0478
  1075.5       25.1758
  1076.0       12.5722
  1076.5       2.72638
  1077.0       6.70443
  1077.5       10.8478
  1078.0       6.80971
  1078.5       2.76659
  1079.0       2.65227
  1079.5       2.66126
  1080.0       2.66069
  1080.5        2.6619
  1081.0       2.64296
  1081.5       2.62495
  1082.0       2.62722
  1082.5       6.71981
  1083.0       39.1475
  1083.5       65.1771
  1084.0       43.5015
  1084.5       25.0131
  1085.0       13.5302
  1085.5       7.16636
  1086.0      10.00239
  1086.5       6.01997
  1087.0       2.85839
  1087.5       3.99734
  1088.0       4.80378
  1088.5       3.57461
  1089.0       3.69748
  1089.5      10.09377
  1090.0       14.7911
  1090.5       8.20445
  1091.0       2.80823
  1091.5       2.59563
  1092.0       19.4416
  1092.5       40.5305
  1093.0       27.8615
  1093.5       6.89424
  1094.0       2.61634
  1094.5       9.04895
  1095.0       17.2713
  1095.5       12.1061
  1096.0       3.97351
  1096.5        2.7745
  1097.0       24.6121
  1097.5       47.8977
  1098.0        25.406
  1098.5       3.44058
  1099.0       2.52557
  1099.5        2.5006
  1100.0        2.9611
  1100.5       9.21329
  1101.0       14.6674
  1101.5       8.36058
  1102.0       3.09371
  1102.5       17.9977
  1103.0       32.7978
  1103.5       17.4509
  1104.0       2.70371
  1104.5       2.46194
  1105.0       2.48501
  1105.5       2.47734
  1106.0       2.44293
  1106.5       4.12617
  1107.0       7.89594
  1107.5        7.8201
  1108.0       4.28182
  1108.5       9.72539
  1109.0       17.4946
  1109.5       9.95345
  1110.0       2.64284
  1110.5       2.38163
  1111.0       2.32981
  1111.5       2.34192
  1112.0       2.39887
  1112.5       2.35824
  1113.0       2.21536
  1113.5       3.26698
  1114.0       4.80284
  1114.5       3.91868
  1115.0       4.21802
  1115.5       6.65168
  1116.0       4.93203
  1116.5       1.96984
  1117.0       1.75732
  1117.5       1.96536
  1118.0       2.08978
  1118.5       1.97735
  1119.0       1.80446
  1119.5       1.82325
  1120.0       1.89444
  1120.5         1.962
  1121.0       2.48342
  1121.5         2.594
  1122.0       2.03587
  1122.5       2.04589
  1123.0       2.80961
  1123.5        2.1268
  1124.0       1.80344
  1124.5       2.03557
  1125.0       1.83618
  1125.5       1.42822
  1126.0       1.54639
  1126.5       1.85974
  1127.0       1.96316
  1127.5       1.78737
  1128.0       1.79699
  1128.5       2.75876
  1129.0       4.09412
  1129.5        5.4585
  1130.0       6.86153
  1130.5       9.24708
  1131.0       12.9799
  1131.5       13.1045
  1132.0       9.59555
  1132.5       14.6932
  1133.0       23.9349
  1133.5      10.15853
  1134.0       4.59617
  1134.5       5.08384
  1135.0       8.69173
  1135.5       24.1901
  1136.0       9.81191
  1136.5       2.04643
  1137.0       5.14814
  1137.5       9.01462
  1138.0       8.81561
  1138.5       3.55417
  1139.0       2.26166
  1139.5        2.2494
  1140.0       2.08964
  1140.5       2.05461
  1141.0       1.96833
  1141.5       1.99429
  1142.0       2.07405
  1142.5       2.16437
  1143.0       4.49021
  1143.5       40.1342
  1144.0       61.6624
  1144.5       35.1493
  1145.0       22.0794
  1145.5       15.3234
  1146.0       5.94369
  1146.5       6.32828
  1147.0       7.82343
  1147.5       3.98974
  1148.0        2.2572
  1148.5       3.68771
  1149.0       4.37706
  1149.5       3.06555
  1150.0       2.91773
  1150.5       10.6585
  1151.0        13.809
  1151.5       8.02794
  1152.0       2.45361
  1152.5       1.98826
  1153.0       5.39918
  1153.5       28.8207
  1154.0       40.9578
  1154.5       20.4689
  1155.0       2.27738
  1155.5       2.26784
  1156.0      10.54398
  1156.5       20.1719
  1157.0        11.983
  1157.5        2.4437
  1158.0       2.13677
  1158.5       22.2266
  1159.0       45.4602
  1159.5         36.31
  1160.0       9.10025
  1160.5       2.14935
  1161.0       2.21573
  1161.5       2.24449
  1162.0       5.32035
  1162.5       12.6798
  1163.0       15.6238
  1163.5       7.05453
  1164.0        2.3691
  1164.5       20.5243
  1165.0       39.8356
  1165.5       23.4438
  1166.0       4.02517
  1166.5       2.25833
  1167.0        2.2685
  1167.5       2.28446
  1168.0       2.28164
  1168.5        2.2798
  1169.0       6.13717
  1169.5        10.932
  1170.0       7.95384
  1170.5       3.14505
  1171.0       10.9379
  1171.5       22.1655
  1172.0       14.2398
  1172.5       3.84504
  1173.0       2.26858
  1173.5       2.23031
  1174.0       2.18189
  1174.5       2.22771
  1175.0       2.26487
  1175.5       2.26208
  1176.0       2.29701
  1176.5       4.20969
  1177.0       6.40281
  1177.5       4.33794
  1178.0       3.82162
  1178.5       7.88936
  1179.0       9.44501
  1179.5       4.85853
  1180.0         2.249
  1180.5        2.2758
  1181.0       2.25192
  1181.5       2.16756
  1182.0       2.10746
  1182.5        2.1819
  1183.0       2.25669
  1183.5       2.26454
  1184.0       2.22288
  1184.5       2.72706
  1185.0       3.44391
  1185.5       3.11946
  1186.0       3.42887
  1186.5       4.65356
  1187.0       3.89139
  1187.5       2.48136
  1188.0       2.14194
  1188.5       2.16913
  1189.0         2.214
  1189.5       2.23587
  1190.0       2.24004
  1190.5       2.22853
  1191.0       2.22855
  1191.5       2.23609
  1192.0       2.24128
  1192.5       2.24726
  1193.0       2.27727
  1193.5       2.44152
  1194.0       2.57423
  1194.5       2.61534
  1195.0       2.80609
  1195.5       2.64983
  1196.0        2.6172
  1196.5       4.43751
  1197.0       9.81783
  1197.5        12.514
  1198.0       10.8374
  1198.5       15.7988
  1199.0       18.8337
  1199.5       12.9109
  1200.0       19.1873
  1200.5       30.7555
  1201.0        22.735
  1201.5       8.11604
  1202.0       8.56704
  1202.5       28.9963
  1203.0       40.1608
  1203.5        19.741
  1204.0       3.69024
  1204.5       2.27749
  1205.0       7.28099
  1205.5       13.6636
  1206.0       8.69253
  1206.5       2.75788
  1207.0        2.1716
  1207.5       2.16815
  1208.0       2.16781
  1208.5       2.17017
  1209.0        2.1647
  1209.5       2.16587
  1210.0       2.17595
  1210.5       2.18835
  1211.0       2.20895
  1211.5        24.364
  1212.0       70.7087
  1212.5       70.8397
  1213.0       40.7706
  1213.5       34.2128
  1214.0       19.5483
  1214.5       4.60082
  1215.0       8.80841
  1215.5       13.9615
  1216.0       7.81891
  1216.5       2.33797
  1217.0       2.50506
  1217.5       4.38079
  1218.0       5.94581
  1218.5       3.96519
  1219.0        9.1073
  1219.5       18.2113
  1220.0       12.7415
  1220.5       4.42789
  1221.0       3.18879
  1221.5       2.71277
  1222.0       4.41868
  1222.5       33.3472
  1223.0       59.8641
  1223.5       29.0156
  1224.0       2.28608
  1224.5       2.32441
  1225.0       7.33418
  1225.5       18.9641
  1226.0       20.6387
  1226.5        8.6979
  1227.0       2.14177
  1227.5       2.14562
  1228.0       23.6399
  1228.5       58.2243
  1229.0       47.5455
  1229.5        13.711
  1230.0       2.16004
  1230.5       2.14921
  1231.0       2.14905
  1231.5       2.16274
  1232.0       10.8069
  1232.5       21.0051
  1233.0       12.8538
  1233.5       3.16481
  1234.0       2.14722
  1234.5       20.3437
  1235.0       45.6614
  1235.5       32.5822
  1236.0       8.07364
  1236.5       2.13367
  1237.0       2.13179
  1237.5       2.13128
  1238.0       2.13016
  1238.5       2.12871
  1239.0       2.13549
  1239.5       7.45998
  1240.0       13.7076
  1240.5       8.64911
  1241.0       2.70844
  1241.5       5.57061
  1242.0       18.9596
  1242.5       25.6368
  1243.0       11.8314
  1243.5       2.11625
  1244.0       2.11313
  1244.5       2.11165
  1245.0       2.11033
  1245.5       2.10898
  1246.0       2.10763
  1246.5       2.10581
  1247.0       2.10434
  1247.5       3.31365
  1248.0         6.141
  1248.5       6.50751
  1249.0       3.64627
  1249.5       5.00153
  1250.0       10.8424
  1250.5       12.0632
  1251.0      10.08474
  1251.5       10.7915
  1252.0       11.1814
  1252.5        8.2489
  1253.0       4.11928
  1253.5       3.02657
  1254.0       6.09381
  1254.5        9.9519
  1255.0       11.2991
  1255.5         10.89
  1256.0       9.31829
  1256.5       6.84647
  1257.0       6.05408
  1257.5       5.53488
  1258.0       3.66476
  1258.5       5.41985
  1259.0       8.16126
  1259.5       6.35049
  1260.0       5.55399
  1260.5       7.18423
  1261.0       8.15172
  1261.5       8.04746
  1262.0      10.21697
  1262.5       17.5589
  1263.0       26.1701
  1263.5       28.6183
  1264.0       26.2557
  1264.5        22.963
  1265.0       19.5718
  1265.5       16.5105
  1266.0       10.6456
  1266.5       6.04447
  1267.0       7.32453
  1267.5      10.51225
  1268.0       17.5495
  1268.5       20.1138
  1269.0       18.9589
  1269.5       24.4224
  1270.0       20.1203
  1270.5       15.9059
  1271.0       29.7271
  1271.5       46.3594
  1272.0       47.7631
  1272.5       42.6555
  1273.0       34.8373
  1273.5       26.6119
  1274.0       16.9769
  1274.5        16.022
  1275.0       16.8454
  1275.5       15.8983
  1276.0       20.6486
  1276.5       24.4784
  1277.0       14.6708
  1277.5       17.5664
  1278.0       34.0858
  1278.5       29.5272
  1279.0       11.0105
  1279.5       7.15216
  1280.0       26.2546
  1280.5       41.5854
  1281.0        34.009
  1281.5       23.6313
  1282.0       22.1178
  1282.5       16.5434
  1283.0       13.2169
  1283.5       18.7011
  1284.0       29.2052
  1284.5       47.4973
  1285.0       59.8016
  1285.5       61.3731
  1286.0       57.8978
  1286.5       39.3938
  1287.0       13.8469
  1287.5       2.52402
  1288.0        2.0037
  1288.5         2.002
  1289.0       2.00355
  1289.5       3.07599
  1290.0       48.1257
  1290.5        97.363
  1291.0        54.345
  1291.5       23.0786
  1292.0       36.3207
  1292.5       21.8826
  1293.0       4.92163
  1293.5       5.11679
  1294.0       11.2068
  1294.5       13.3725
  1295.0       6.49555
  1295.5       1.98296
  1296.0       2.23516
  1296.5        3.7796
  1297.0       5.74523
  1297.5       4.98797
  1298.0       11.4958
  1298.5        20.651
  1299.0       12.1249
  1299.5       2.71937
  1300.0       2.29095
  1300.5       2.82666
  1301.0       3.02362
  1301.5       25.9865
  1302.0       58.3937
  1302.5       41.1587
  1303.0       9.58817
  1303.5       1.89932
  1304.0       1.90742
  1304.5       7.12428
  1305.0       20.4337
  1305.5       22.1638
  1306.0        9.1951
  1306.5       1.87962
  1307.0       1.87771
  1307.5        2.4745
  1308.0       35.5553
  1308.5       74.6935
  1309.0       38.9499
  1309.5       3.11873
  1310.0       1.88912
  1310.5       1.90038
  1311.0       1.90425
  1311.5       1.90965
  1312.0       6.15593
  1312.5       16.7124
  1313.0       18.8279
  1313.5       7.84454
  1314.0       1.80735
  1314.5       1.84111
  1315.0       20.3073
  1315.5        47.022
  1316.0       37.2511
  1316.5       9.94921
  1317.0       1.82886
  1317.5       1.85796
  1318.0        1.8521
  1318.5       1.80913
  1319.0       1.80548
  1319.5       1.79894
  1320.0         1.766
  1320.5       7.67584
  1321.0       14.9982
  1321.5       8.85938
  1322.0       2.45953
  1322.5       1.80297
  1323.0       12.5865
  1323.5       28.7063
  1324.0       19.7566
  1324.5        5.2754
  1325.0       1.82873
  1325.5        1.7968
  1326.0        1.8118
  1326.5       1.81187
  1327.0       1.77464
  1327.5       1.76914
  1328.0       1.72929
  1328.5       1.65729
  1329.0         1.655
  1329.5       3.83972
  1330.0       7.03162
  1330.5       5.94307
  1331.0       2.56889
  1331.5       1.92055
  1332.0        7.7218
  1332.5       12.8792
  1333.0       7.99287
  1333.5       1.76075
  1334.0       1.60788
  1334.5       1.69024
  1335.0       1.71697
  1335.5       1.69003
  1336.0       1.61633
  1336.5       1.67273
  1337.0       1.64106
  1337.5       1.56889
  1338.0       1.61199
  1338.5       1.68354
  1339.0       1.67963
  1339.5       2.70429
  1340.0       3.73055
  1340.5       2.70087
  1341.0       1.83526
  1341.5       3.11184
  1342.0       5.93391
  1342.5       4.58722
  1343.0       2.21538
  1343.5       1.58806
  1344.0       1.36388
  1344.5        1.3092
  1345.0       1.47173
  1345.5       1.50419
  1346.0       1.44766
  1346.5       1.40371
  1347.0         1.413
  1347.5       1.18304
  1348.0      0.903036
  1348.5      0.932211
  1349.0       1.15406
  1349.5       1.29497
  1350.0          1.08
  1350.5      0.966673
  1351.0       1.44963
  1351.5       1.08107
  1352.0       1.07461
  1352.5       1.19602
  1353.0      0.936998
  1353.5      0.730638
  1354.0      0.598233
  1354.5      0.359024
  1355.0      0.299231
  1355.5       0.39664
  1356.0      0.501788
  1356.5      0.663965
  1357.0      0.515147
  1357.5      0.352812
  1358.0      0.377577
  1358.5      0.371345
  1359.0      0.360868
  1359.5      0.282346
  1360.0      0.320927
  1360.5      0.276612
  1361.0      0.119613
  1361.5     0.0482291
  1362.0     0.0277257
  1362.5      0.109918
  1363.0      0.398925
  1363.5      0.565956
  1364.0      0.401276
  1364.5      0.132269
  1365.0     0.0931716
  1365.5      0.256603
  1366.0       3.17782
  1366.5       6.61061
  1367.0       4.55782
  1367.5       2.66103
  1368.0      0.567012
  1368.5       0.58556
  1369.0       6.37186
  1369.5       8.65132
  1370.0      0.773206
  1370.5      0.462927
  1371.0       0.75846
  1371.5       7.85394
  1372.0       4.75718
  1372.5       2.05521
  1373.0      0.579043
  1373.5      0.628867
  1374.0       1.79365
  1374.5       2.98207
  1375.0       2.95257
  1375.5       2.87362
  1376.0      0.673344
  1376.5      0.598167
  1377.0       0.57333
  1377.5      0.881459
  1378.0      0.916538
  1378.5        0.5194
  1379.0      0.487852
  1379.5      0.718004
  1380.0      0.527292
  1380.5      0.182068
  1381.0      0.192434
  1381.5       3.38838
  1382.0        9.0016
  1382.5       3.71841
  1383.0       1.42747
  1383.5       1.77129
  1384.0       5.07202
  1384.5       6.75388
  1385.0      0.655463
  1385.5       0.39235
  1386.0       1.13831
  1386.5       2.67083
  1387.0       6.30875
  1387.5       2.51069
  1388.0      0.300097
  1388.5      0.493747
  1389.0       1.01727
  1389.5       1.77152
  1390.0       1.89271
  1390.5       5.99878
  1391.0       7.26641
  1391.5       5.82356
  1392.0      0.790132
  1392.5      0.228866
  1393.0      0.540808
  1393.5      0.845031
  1394.0      0.951562
  1394.5       8.94402
  1395.0       2.95309
  1395.5       1.00672
  1396.0      0.568999
  1396.5      0.218732
  1397.0      0.543559
  1397.5       1.15431
  1398.0       7.41698
  1398.5       13.9849
  1399.0       8.16297
  1399.5      0.674668
  1400.0      0.297832
  1400.5      0.193329
  1401.0      0.443752
  1401.5       2.35056
